Feature1,Feature2
52.483570765056164,49.308678494144075
53.23844269050346,57.61514928204013
48.82923312638332,48.8293152152541
57.896064077536955,53.837173645764544
47.65262807032524,52.712800217929825
47.68291153593769,47.671351232148716
51.20981135783017,40.43359877671101
41.375410837434835,47.188562353795135
44.93584439832788,51.57123666297637
45.45987962239394,42.93848149332354
57.32824384460777,48.87111849756732
50.337641023439616,42.87625906893272
47.27808637737409,50.554612948549334
44.24503211288849,51.87849009172836
46.99680655040598,48.54153125103362
46.991466938853016,59.26139092254469
49.93251387631033,44.7114453552205
54.11272456051594,43.89578175014489
51.04431797502378,40.201649380601125
43.359069755507846,50.984306179345616
53.69233289997705,50.85684140594985
49.4217585880588,48.494481522053555
42.60739004816286,46.40077895802646
47.696806145201066,55.285611131094576
51.718091447842305,41.18479922318633
51.620419846973974,48.07458859791842
46.61538999847021,53.058381444204336
55.154997612479754,54.65640059558099
45.80391238388681,48.45393812074393
51.65631715701782,54.877725635611796
47.60412881077355,49.07170511668092
44.468325129969855,44.01896687959665
54.06262911197099,56.78120014285412
49.63994939209833,55.01766448946012
51.808180125238174,46.774401226974376
51.80697802754207,57.690182832329846
49.82086980445024,57.82321827907003
36.901274479551276,54.10951252187612
50.435235341190854,48.50496324767066
50.458803882677515,40.06215542699554
48.90164056081244,51.78556285755873
57.38947022370758,47.40864890863176
45.95753198553406,47.491214782077314
54.57701058851037,51.64375554829842
47.351198981164806,52.56633716556678
50.4853877467402,54.84322495266444
46.48973453061324,48.36168926701116
48.03945923433921,42.68242525933941
51.48060138532288,51.30527636089945
50.025567283212304,48.82706433312426
42.923146289747926,47.89677338617321
48.286427417366156,45.9886136538919
49.19357144166995,52.02025428407269
59.43092950605265,50.872889064159196
51.28775195361382,49.62777042116917
40.40614392350479,49.867430622753915
50.30115104970513,62.316210562426434
49.03819517609439,51.50773671166806
49.82644115147378,44.15660981190234
55.7141140725751,53.75966516343387
53.95515973521523,45.4530627260263
57.013971554680495,42.990744686038596
52.93428546900135,60.952278129049894
45.04731837434656,47.16851135198614
50.498256825438204,47.482621729419
42.24668284466934,50.34281487403014
44.688481431369475,52.36796215317591
45.402878828830985,57.7496720250877
46.08373353831882,48.38969241897162
54.06758608684835,43.84567841783022
51.13729967302065,56.53571377141214
41.96258382719386,50.92316929266152
51.29941397124212,53.909114358886555
43.81524644560959,43.39771693457862
52.60970782808449,51.48492336616593
51.252464251729386,51.73224104748488
46.59987639210755,51.16126848580502
51.46536236649341,46.42824290986816
59.328872555723784,52.36916460455894
44.04348251398676,53.28276804316915
45.126591648863396,53.93542301871226
55.79297789503702,45.89658840824145
54.816880646221605,52.063904634682494
54.11030079997245,59.48396491326974
48.77305941998565,46.23131917821255
45.55242785187238,45.92094857517281
49.61449145292948,51.70575987408322
51.3834539966501,54.13591624518012
50.065009459389536,57.26767038578659
48.67671583381022,63.600845832948096
53.128336738825034,45.714212217918586
44.645537509694435,52.41236207621593
48.88268607337075,53.57000247046046
52.366188122867726,49.63585543671564
45.76603140965798,42.42576387657068
47.767425239664895,54.28199397161736
51.07046872065102,43.77130610644006
50.86590462925591,51.92658689864418
45.580712818994336,50.768625529727636
50.29104359223,44.28514851084688
51.788936801741414,52.803922631841175
55.41525621587638,55.26901026017451
43.111653160214544,45.310874800424386
52.5751763360433,52.56892975456105
52.57523843153024,69.26365745327361
52.85445255346583,55.677828200902994
54.770008817466014,53.25695625652899
48.423653776798275,53.79484610246634
46.13587392731214,48.815906966299956
47.57318226085448,50.40937069693161
61.573292833367546,40.66367403704126
53.431300951872565,41.93642064405174
47.64034067105283,55.44475298483683
50.321400095477316,44.61127611035347
46.42348145370016,53.39798874467338
46.34816684141432,51.08229294790988
50.22785919951907,46.74199826197091
60.719720446626624,53.169595111590056
39.874287066711965,50.93227157384714
46.69106767615806,54.26216667398112
46.037396307836495,49.42631779266551
52.524936394902284,54.32877597085061
43.99851796472112,48.327493820795254
47.625273444195216,46.73335383713144
